ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA
101,124.9,8,25.0,999.2,749.4,149.88
102,89.29,18,10.0,1607.22,1446.5,289.3
103,146.41,15,5.0,2196.15,2086.34,417.27
104,421.82,18,25.0,7592.76,5694.57,1138.91
105,392.92,20,15.0,7858.4,6679.64,1335.93
106,290.62,12,20.0,3487.44,2789.95,557.99
107,484.58,15,5.0,7268.7,6905.26,1381.05
108,333.76,11,15.0,3671.36,3120.66,624.13
109,231.94,17,5.0,3942.98,3745.83,749.17
110,325.47,8,20.0,2603.76,2083.01,416.6
111,327.44,7,25.0,2292.08,1719.06,343.81
112,195.36,5,25.0,976.8,732.6,146.52
113,255.59,4,10.0,1022.36,920.12,184.02
114,328.97,6,5.0,1973.82,1875.13,375.03
115,454.44,3,20.0,1363.32,1090.66,218.13
116,286.63,2,25.0,573.26,429.94,85.99
117,207.26,11,10.0,2279.86,2051.87,410.37
118,466.61,19,25.0,8865.59,6649.19,1329.84
119,94.05,7,20.0,658.35,526.68,105.34
120,103.96,7,15.0,727.72,618.56,123.71
121,444.35,7,20.0,3110.45,2488.36,497.67
122,53.31,12,10.0,639.72,575.75,115.15
123,291.23,6,20.0,1747.38,1397.9,279.58
124,269.8,14,20.0,3777.2,3021.76,604.35
125,184.12,7,0.0,1288.84,1288.84,257.77
126,26.67,6,0.0,160.02,160.02,32.0
127,247.65,8,0.0,1981.2,1981.2,396.24
128,267.05,6,20.0,1602.3,1281.84,256.37
129,7.49,1,15.0,7.49,6.37,1.27
130,292.83,2,5.0,585.66,556.38,111.28
131,203.75,9,15.0,1833.75,1558.69,311.74
132,377.35,9,0.0,3396.15,3396.15,679.23
133,420.79,6,10.0,2524.74,2272.27,454.45
134,380.47,7,0.0,2663.29,2663.29,532.66
135,362.8,9,5.0,3265.2,3101.94,620.39
136,264.22,19,10.0,5020.18,4518.16,903.63
137,482.22,8,0.0,3857.76,3857.76,771.55
138,40.93,19,5.0,777.67,738.79,147.76
139,217.87,4,0.0,871.48,871.48,174.3
140,272.16,2,15.0,544.32,462.67,92.53
141,380.02,10,5.0,3800.2,3610.19,722.04
142,46.18,18,10.0,831.24,748.12,149.62
143,403.71,13,20.0,5248.23,4198.58,839.72
144,420.66,19,25.0,7992.54,5994.41,1198.88
145,128.98,20,5.0,2579.6,2450.62,490.12
146,336.44,4,15.0,1345.76,1143.9,228.78
147,282.53,17,10.0,4803.01,4322.71,864.54
148,344.83,14,15.0,4827.62,4103.48,820.7
149,151.75,12,20.0,1821.0,1456.8,291.36
150,309.18,13,15.0,4019.34,3416.44,683.29
151,47.37,10,20.0,473.7,378.96,75.79
152,417.99,3,10.0,1253.97,1128.57,225.71
153,466.89,2,0.0,933.78,933.78,186.76
154,404.7,8,10.0,3237.6,2913.84,582.77
155,39.53,6,25.0,237.18,177.88,35.58
156,211.22,18,10.0,3801.96,3421.76,684.35
157,67.09,9,0.0,603.81,603.81,120.76
158,43.47,1,5.0,43.47,41.3,8.26
159,189.97,20,15.0,3799.4,3229.49,645.9
160,414.33,19,15.0,7872.27,6691.43,1338.29
161,320.47,6,5.0,1922.82,1826.68,365.34
162,251.49,17,5.0,4275.33,4061.56,812.31
163,180.08,19,25.0,3421.52,2566.14,513.23
164,144.96,13,5.0,1884.48,1790.26,358.05
165,453.59,18,25.0,8164.62,6123.47,1224.69
166,100.57,18,5.0,1810.26,1719.75,343.95
167,66.43,2,25.0,132.86,99.65,19.93
168,429.58,10,0.0,4295.8,4295.8,859.16
169,251.81,10,10.0,2518.1,2266.29,453.26
170,186.34,6,5.0,1118.04,1062.14,212.43
171,382.75,7,15.0,2679.25,2277.36,455.47
172,419.59,2,5.0,839.18,797.22,159.44
173,147.27,9,20.0,1325.43,1060.34,212.07
174,245.71,1,10.0,245.71,221.14,44.23
175,284.83,12,25.0,3417.96,2563.47,512.69
176,381.95,11,0.0,4201.45,4201.45,840.29
177,160.33,4,10.0,641.32,577.19,115.44
178,171.95,18,25.0,3095.1,2321.32,464.26
179,328.71,8,20.0,2629.68,2103.74,420.75
180,204.1,7,25.0,1428.7,1071.53,214.31
181,62.94,11,10.0,692.34,623.11,124.62
182,320.59,14,25.0,4488.26,3366.19,673.24
183,90.43,3,0.0,271.29,271.29,54.26
184,379.92,13,0.0,4938.96,4938.96,987.79
185,169.68,9,10.0,1527.12,1374.41,274.88
186,67.46,4,15.0,269.84,229.36,45.87
187,364.8,19,0.0,6931.2,6931.2,1386.24
188,468.45,14,15.0,6558.3,5574.56,1114.91
189,24.55,12,10.0,294.6,265.14,53.03
190,58.26,17,0.0,990.42,990.42,198.08
191,343.15,12,25.0,4117.8,3088.35,617.67
192,64.08,20,25.0,1281.6,961.2,192.24
193,280.97,1,20.0,280.97,224.78,44.96
194,283.83,8,5.0,2270.64,2157.11,431.42
195,324.06,12,20.0,3888.72,3110.98,622.2
196,324.17,7,10.0,2269.19,2042.27,408.45
197,241.96,17,15.0,4113.32,3496.32,699.26
198,487.89,10,25.0,4878.9,3659.17,731.84
