ID,Prix,Quantite,Remise
101,124.9,8,25
102,89.29,18,10
103,146.41,15,5
104,421.82,18,25
105,392.92,20,15
106,290.62,12,20
107,484.58,15,5
108,333.76,11,15
109,231.94,17,5
110,325.47,8,20
111,327.44,7,25
112,195.36,5,25
113,255.59,4,10
114,328.97,6,5
115,454.44,3,20
116,286.63,2,25
117,207.26,11,10
118,466.61,19,25
119,94.05,7,20
120,103.96,7,15
121,444.35,7,20
122,53.31,12,10
123,291.23,6,20
124,269.8,14,20
125,184.12,7,0
126,26.67,6,0
127,247.65,8,0
128,267.05,6,20
129,7.49,1,15
130,292.83,2,5
131,203.75,9,15
132,377.35,9,0
133,420.79,6,10
134,380.47,7,0
135,362.8,9,5
136,264.22,19,10
137,482.22,8,0
138,40.93,19,5
139,217.87,4,0
140,272.16,2,15
141,380.02,10,5
142,46.18,18,10
143,403.71,13,20
144,420.66,19,25
145,128.98,20,5
146,336.44,4,15
147,282.53,17,10
148,344.83,14,15
149,151.75,12,20
150,309.18,13,15
151,47.37,10,20
152,417.99,3,10
153,466.89,2,0
154,404.7,8,10
155,39.53,6,25
156,211.22,18,10
157,67.09,9,0
158,43.47,1,5
159,189.97,20,15
160,414.33,19,15
161,320.47,6,5
162,251.49,17,5
163,180.08,19,25
164,144.96,13,5
165,453.59,18,25
166,100.57,18,5
167,66.43,2,25
168,429.58,10,0
169,251.81,10,10
170,186.34,6,5
171,382.75,7,15
172,419.59,2,5
173,147.27,9,20
174,245.71,1,10
175,284.83,12,25
176,381.95,11,0
177,160.33,4,10
178,171.95,18,25
179,328.71,8,20
180,204.1,7,25
181,62.94,11,10
182,320.59,14,25
183,90.43,3,0
184,379.92,13,0
185,169.68,9,10
186,67.46,4,15
187,364.8,19,0
188,468.45,14,15
189,24.55,12,10
190,58.26,17,0
191,343.15,12,25
192,64.08,20,25
193,280.97,1,20
194,283.83,8,5
195,324.06,12,20
196,324.17,7,10
197,241.96,17,15
198,487.89,10,25
199,489.98,14,20
200,38.17,13,15
201,390.76,3,5
202,103.28,16,10
203,211.34,5,5
204,346.24,14,10
205,386.08,16,15
206,381.63,3,10
207,107.66,6,10
208,474.92,6,5
209,449.91,9,25
210,234.34,11,20
211,33.46,2,20
212,218.42,2,15
213,382.73,19,10
214,498.35,16,0
215,297.35,20,20
216,384.54,1,10
217,187.92,1,15
218,119.37,16,10
219,102.9,5,25
220,382.8,18,5
221,250.58,11,25
222,79.01,20,10
223,5.57,4,20
224,46.82,3,15
225,480.75,12,20
226,219.9,4,20
227,329.63,16,0
228,362.47,5,10
229,238.54,16,5
230,181.41,9,25
231,256.18,19,15
232,298.3,19,10
233,64.58,11,15
234,253.5,1,5
235,380.21,2,25
236,446.72,8,15
237,229.89,14,25
238,491.97,17,25
239,319.98,3,15
240,188.76,15,10
241,404.75,15,0
242,458.37,3,10
243,416.22,19,10
244,298.94,10,5
245,109.39,4,25
246,151.9,5,25
247,383.42,15,5
248,461.04,18,25
249,358.68,3,10
250,277.9,9,10
251,166.27,6,15
252,180.06,4,10
253,251.02,18,10
254,492.08,7,15
255,21.17,17,0
256,241.95,10,5
257,34.07,9,20
258,387.5,17,25
259,496.9,6,10
260,35.82,11,10
261,201.25,15,25
262,77.38,17,25
263,434.15,9,10
264,88.27,7,20
265,20.78,12,0
266,75.86,3,25
267,449.27,1,10
268,414.26,9,5
269,157.2,9,15
270,311.09,19,5
271,475.79,20,20
272,8.89,7,20
273,228.92,18,15
274,20.33,10,15
275,95.91,15,5
276,152.99,20,15
277,268.63,15,25
278,17.0,14,10
279,125.03,17,15
280,374.99,19,25
281,229.67,16,20
282,351.65,7,20
283,366.72,3,20
284,355.32,12,15
285,237.79,8,10
286,453.67,20,20
287,174.14,11,15
288,436.06,18,20
289,401.25,18,5
290,116.6,19,0
291,167.5,5,20
292,467.55,3,25
293,313.68,5,10
294,88.31,18,10
295,29.68,6,20
296,128.38,2,10
297,423.37,11,5
298,144.25,17,15
299,270.47,9,25
300,160.2,8,20
301,68.12,18,15
302,330.88,7,25
303,21.3,1,20
304,130.42,4,5
305,196.11,14,15
306,387.19,5,25
307,204.68,8,15
308,254.56,19,0
309,411.75,20,5
310,484.72,4,5
311,368.53,3,0
312,380.95,11,25
313,288.34,7,10
314,120.43,17,5
315,483.41,11,20
316,41.38,6,25
317,249.95,4,25
318,362.61,6,10
319,402.72,3,5
320,423.74,1,5
321,271.48,9,10
322,469.82,19,5
323,131.25,14,10
324,336.27,13,15
325,449.58,6,25
326,404.06,19,15
327,371.04,13,15
328,389.34,8,10
329,147.12,1,20
330,278.94,14,10
331,59.53,19,10
332,441.66,8,10
333,193.84,16,0
334,5.95,13,25
335,57.67,20,15
336,465.42,6,15
337,312.45,12,20
338,488.56,19,15
339,429.01,1,15
340,347.19,1,25
341,246.94,13,0
342,284.84,4,15
343,289.09,14,25
344,77.81,18,10
345,181.33,2,10
346,443.13,7,10
347,35.57,4,25
348,418.24,10,5
349,225.42,5,25
350,389.82,15,25
351,423.23,9,20
352,247.19,15,0
353,185.02,11,10
354,330.66,15,25
355,293.35,16,15
356,101.03,12,15
357,113.1,5,5
358,475.15,7,25
359,114.11,3,5
360,247.8,8,25
361,361.37,13,15
362,106.78,17,20
363,146.58,11,5
364,224.87,11,25
365,265.07,19,20
366,198.89,14,5
367,373.23,14,20
368,378.09,6,20
369,462.28,16,25
370,446.29,6,15
371,79.79,11,15
372,495.52,18,20
373,265.92,12,15
374,265.69,2,25
375,367.67,15,10
376,7.84,19,5
377,163.06,5,15
378,447.54,16,0
379,388.26,3,20
380,75.91,10,25
381,81.04,1,10
382,48.89,17,15
383,359.85,15,25
384,259.15,19,5
385,411.91,4,5
386,456.43,12,10
387,225.66,19,0
388,333.19,18,20
389,484.23,15,10
390,223.84,4,0
391,70.19,10,0
392,255.77,13,10
393,129.78,15,0
394,88.53,3,25
395,451.99,17,25
396,208.07,16,15
397,63.82,5,20
398,323.85,2,0
399,64.98,18,25
400,62.39,6,15
401,130.5,9,20
402,324.96,10,10
403,75.41,9,5
404,359.51,12,0
405,332.43,3,5
406,426.49,2,15
407,399.86,5,20
408,284.98,7,0
409,314.88,11,0
410,376.5,14,10
411,476.04,9,0
412,406.0,18,20
413,11.08,18,10
414,260.88,10,15
415,183.35,17,15
416,96.83,14,0
417,241.19,2,20
418,387.13,13,5
419,116.94,13,10
420,187.8,9,5
421,40.62,17,10
422,105.66,13,20
423,330.68,9,15
424,201.2,9,15
425,404.09,9,25
426,129.49,3,15
427,417.84,16,10
428,187.52,7,0
429,111.7,9,20
430,175.19,19,20
431,92.64,5,0
432,346.42,14,20
433,216.45,13,5
434,497.29,9,5
435,493.36,12,0
436,446.52,17,25
437,376.19,13,10
438,391.01,12,15
439,327.26,17,15
440,67.94,15,25
441,179.2,13,20
442,444.7,8,25
443,287.1,9,20
444,218.74,4,20
445,313.23,18,15
446,360.8,20,25
447,195.72,2,10
448,201.53,2,0
449,355.03,20,0
450,37.96,1,20
451,130.97,12,25
452,473.7,18,15
453,249.23,17,25
454,137.01,15,15
455,372.89,6,25
456,76.65,11,20
457,44.87,4,25
458,318.9,5,5
459,51.03,13,5
460,499.8,18,5
461,458.7,5,0
462,125.82,8,10
463,91.13,18,20
464,169.79,10,20
465,339.61,4,10
466,154.67,20,15
467,150.72,4,10
468,80.17,18,20
469,358.36,20,5
470,128.05,4,5
471,171.93,10,10
472,183.31,8,0
473,299.59,8,10
474,446.69,20,15
475,372.64,8,5
476,30.26,8,20
477,64.46,7,25
478,246.65,6,15
479,113.54,5,5
480,68.26,12,5
481,294.88,15,20
482,479.17,4,25
